case_id,target_x_m,target_y_m,target_z_m,ik_success,success,failure_reason,ik_iterations,ik_error_m,tracking_error_m,max_joint_error_rad,joint_velocity_norm_rad_s,all_finite,joint_limit_violation,simulation_time_s,wall_time_s
0,0.6316845107092145,-0.04401086616733875,0.6632053718133809,True,True,none,5,2.583708591217495e-05,2.5612756239295304e-05,6.529967520041424e-07,1.0162759965511755e-05,True,False,2.999999999999891,0.2046101999876555
1,0.6979441938980674,-0.0897712716447258,0.7372751246475271,True,True,none,3,3.0058379670709357e-05,3.0043277348656713e-05,8.613297297621614e-08,1.3579502312985954e-06,True,False,2.999999999999891,0.19847920001484454
2,0.7748598147120118,-0.06727694188815218,0.7228292717056537,True,True,none,5,2.277467106433255e-05,2.288158512321233e-05,5.500478987841007e-07,7.271153921791894e-06,True,False,2.999999999999891,0.20445499999914318
3,0.6528177910062282,0.056566911792381144,0.60017845755214,True,True,none,6,5.4997634172720196e-06,5.292546979946667e-06,6.323551220432932e-07,9.810665953936642e-06,True,False,2.999999999999891,0.20486849997541867
4,0.6984643113468947,0.06430993372509893,0.7398971289397964,True,True,none,3,1.6827274763088014e-05,1.6809887261274974e-05,9.410187518099633e-08,1.2644439665357546e-06,True,False,2.999999999999891,0.20372820002376102
5,0.7218148897240011,-0.017342093246967106,0.6920285302749548,True,True,none,3,2.777690160257482e-05,2.7764287207163607e-05,9.061003325427919e-08,1.1200723400039191e-06,True,False,2.999999999999891,0.19646830001147464
6,0.6672163841056354,0.012337188643856007,0.8036352199537747,True,True,none,2,2.270361195230681e-05,2.273065794582514e-05,1.0418291940261781e-07,1.4425900828362146e-06,True,False,2.999999999999891,0.1946456000150647
7,0.6722428296327874,-0.07088461447742783,0.6472967667744787,True,True,none,5,5.6370039296027535e-06,5.4999168968213974e-06,4.605094994225567e-07,6.883498539748814e-06,True,False,2.999999999999891,0.19955379999009892
8,0.6736805676999992,-0.05283746716198817,0.7778468880327164,True,True,none,2,7.248944911343744e-05,7.245414406440497e-05,1.493228263260704e-07,1.979596273358628e-06,True,False,2.999999999999891,0.20018240000354126
9,0.780404452945028,-0.13698252529896585,0.7529151285444444,True,True,none,6,4.750158655966278e-05,4.7636451823126814e-05,8.928652364126322e-07,1.1567139310611481e-05,True,False,2.999999999999891,0.20002809999277815
10,0.625213222688841,0.02674194117556018,0.8256427512179395,True,True,none,3,4.868073147888768e-05,4.859551756630864e-05,3.0514010940230207e-07,4.304871128465512e-06,True,False,2.999999999999891,0.19690429998445325
11,0.6615731067362627,-0.09799345692196833,0.6948913564674467,True,True,none,4,1.06431757258975e-05,1.0524329572683886e-05,4.180658330632525e-07,6.079419368465007e-06,True,False,2.999999999999891,0.19717570001375861
12,0.6083945071370821,-0.13133570001389291,0.6905610998682429,True,True,none,5,5.723346988309932e-06,5.509708434818698e-06,6.609063294416018e-07,1.0381474588684611e-05,True,False,2.999999999999891,0.22556009999243543
13,0.733721571030333,-0.12366706071422301,0.6731934029527018,True,True,none,4,7.392836003503918e-06,7.41565688841171e-06,1.3293860309793182e-07,1.922912300769908e-06,True,False,2.999999999999891,0.20830269998987205
14,0.6084119392974006,0.08507821579434431,0.7936017710991784,True,True,none,4,9.625464342277311e-06,9.477676352623206e-06,4.751890976262274e-07,6.9626222689315515e-06,True,False,2.999999999999891,0.25740449997829273
15,0.615548134260351,0.024306860898103144,0.7244151374805181,True,True,none,4,7.2850964451046785e-06,7.496583136051595e-06,6.26840530815187e-07,9.659125363038893e-06,True,False,2.999999999999891,0.27144750001025386
16,0.7076765628018555,-0.047629022180617736,0.8337317553680442,True,True,none,4,2.6061221379390317e-05,2.613705614645595e-05,4.1105099168881054e-07,5.205882417744511e-06,True,False,2.999999999999891,0.22940169999492355
17,0.623431869170267,-0.05286251733045311,0.8102421110468472,True,True,none,3,2.6420719359433224e-06,2.584800435995287e-06,3.610983809743118e-07,5.131327578626125e-06,True,False,2.999999999999891,0.24233449998428114
18,0.7665550954383884,-0.011223898867582948,0.7751044909715354,True,True,none,5,3.768044939654035e-05,3.7796112197451886e-05,6.870187461149868e-07,8.918867738989236e-06,True,False,2.999999999999891,0.21141129999887198
19,0.6703799251774651,-0.07648738786110187,0.7715224792661106,True,True,none,3,1.2942140330241524e-05,1.2899018569226563e-05,1.8170345628121254e-07,2.431841911170913e-06,True,False,2.999999999999891,0.2264865000033751
20,0.7870292964395504,-0.12689494801080659,0.8092778163892372,True,True,none,10,4.272953791991935e-05,4.284863471333493e-05,1.5051776728336463e-06,1.863176701665898e-05,True,False,2.999999999999891,0.22562139999354258
21,0.7269791649181533,-0.11534729166585854,0.6111633963585472,True,True,none,4,2.4442545547905053e-05,2.4414633110947115e-05,1.7786913408812666e-07,2.758179938255765e-06,True,False,2.999999999999891,0.2108588000119198
22,0.7429949484054663,0.1491102815130548,0.8223865769897377,True,True,none,6,6.537968989084763e-05,6.550449193138137e-05,9.072963147449542e-07,1.1843522051335104e-05,True,False,2.999999999999891,0.2233062000013888
23,0.5966203672650766,-0.010688019187852742,0.632537321263914,True,True,none,6,3.4528941713042634e-05,3.420080767060396e-05,8.598177347884928e-07,1.3879531864509085e-05,True,False,2.999999999999891,0.20137560000875965
24,0.6063580041572205,-0.12100329084683191,0.6562514756684863,True,True,none,5,9.888624526865268e-05,9.861128055117861e-05,7.330092011148537e-07,1.1691075267534762e-05,True,False,2.999999999999891,0.20372239997959696
25,0.7145584394838089,0.0038384745217770583,0.664239301835139,True,True,none,4,5.847837217788525e-06,5.803980576446429e-06,2.0810958667460966e-07,2.6650894139082537e-06,True,False,2.999999999999891,0.20287040001130663
26,0.6324429348620709,0.022110384624488454,0.6931049595425153,True,True,none,4,9.123576600733745e-05,9.102535701547829e-05,6.080713843559238e-07,9.274216130777424e-06,True,False,2.999999999999891,0.19214650001958944
27,0.7319505079004316,0.1182725174242699,0.7305051325752311,True,True,none,3,9.468333005608258e-05,9.473669812563924e-05,2.1387601467637296e-07,3.347666904888351e-06,True,False,2.999999999999891,0.19695889999275096
28,0.7271379532804232,-0.1475964420564948,0.6548262195325383,True,True,none,4,9.876777255746949e-06,9.88580041974382e-06,1.0707896143380413e-07,1.9980766996796396e-06,True,False,2.999999999999891,0.20573389998753555
29,0.7776185056386088,0.08680361412890945,0.7879962854732618,True,True,none,6,9.27412208359921e-05,9.287297701180566e-05,9.928005204606904e-07,1.2776755744086838e-05,True,False,2.999999999999891,0.23508410001522861
30,0.7221150467555503,0.0730633449484538,0.6429913357076449,True,True,none,4,1.0450971144487039e-05,1.041854761106781e-05,1.7009475916651695e-07,2.480367894778922e-06,True,False,2.999999999999891,0.27900680000311695
31,0.5987351228631178,0.12143964914122528,0.6506643550273914,True,True,none,6,6.9298564801464215e-06,6.650115796134476e-06,7.762361402541273e-07,1.2357204531893999e-05,True,False,2.999999999999891,0.1875329999893438
32,0.6263517786016777,-0.1475485423160732,0.6741987123221305,True,True,none,5,7.334225161504362e-06,7.14387051269625e-06,5.877965338907387e-07,9.089517345207129e-06,True,False,2.999999999999891,0.17841210000915453
33,0.712054557657709,0.08351592224146552,0.7345758129260995,True,True,none,3,3.432961319770615e-05,3.4338793843565545e-05,6.365111712008931e-08,1.1266259763907902e-06,True,False,2.999999999999891,0.1737554999999702
34,0.780871676620885,-0.014953259338834473,0.6932385579724994,True,True,none,5,1.5314094984757743e-05,1.5411490630619206e-05,4.6045090407176303e-07,6.236478024577829e-06,True,False,2.999999999999891,0.1738249999762047
35,0.6763920040478054,0.07528317444956677,0.6081073317817852,True,True,none,5,1.5606575342914606e-05,1.54542080651848e-05,4.900069408009244e-07,7.43380394549709e-06,True,False,2.999999999999891,0.17453109999769367
36,0.7082885069058154,0.11266203112923183,0.679132073587509,True,True,none,4,6.391115329781973e-06,6.364188220090195e-06,1.4974575934800782e-07,2.2729097870919373e-06,True,False,2.999999999999891,0.17551130001083948
37,0.6461930923401694,-0.07864630234622068,0.7606629003369995,True,True,none,3,2.2654823633235985e-05,2.2757933015092705e-05,3.6841552408795053e-07,5.122612175648949e-06,True,False,2.999999999999891,0.18274469999596477
38,0.6888077291775052,-0.041755675166066805,0.6241560856628392,True,True,none,5,6.718329360044664e-06,6.598358561987758e-06,4.144602396838337e-07,6.224710421795597e-06,True,False,2.999999999999891,0.16992519999621436
39,0.6449395804191479,-0.11189438166652839,0.6061340408972251,True,True,none,6,4.661256383053904e-06,4.458558438007105e-06,6.231868154848996e-07,9.816315303224697e-06,True,False,2.999999999999891,0.1726296000124421
40,0.7701635352126528,-0.14782940076055942,0.6737337171965083,True,True,none,5,1.6525562755597922e-05,1.662114621789085e-05,4.214634994337274e-07,6.099972730773546e-06,True,False,2.999999999999891,0.1908687999821268
41,0.7295128804076795,0.13955100185695254,0.7782724061522941,True,True,none,4,2.327198470342745e-05,2.336076539620539e-05,4.4963046286206065e-07,6.027108869807466e-06,True,False,2.999999999999891,0.17564930001390167
42,0.6089398215700528,-0.047752044114382816,0.7460562742101986,True,True,none,4,3.0281763483017662e-05,3.0478954941384315e-05,6.048827878579743e-07,9.326446607665399e-06,True,False,2.999999999999891,0.17268099999637343
43,0.7613672574064428,0.0615906481499134,0.6842098813224435,True,True,none,4,1.804871813710901e-05,1.811296465627004e-05,2.5904600531312383e-07,3.853130188139807e-06,True,False,2.999999999999891,0.16933780000545084
44,0.7167574294825557,0.13359147005030583,0.59556382666069,True,True,none,4,4.176200495393194e-05,4.17110132401592e-05,2.4096157291708664e-07,3.6673611561000396e-06,True,False,2.999999999999891,0.17520519997924566
