case,seed,cube_x_m,cube_y_m,cube_z_m,cube_yaw_deg,reward,terminated,truncated,success,final_state,failed_stage,reason,failure_category,lift_height_m,hold_duration_s,gripper_width_m,wall_duration_s
0,0,0.45821770445870824,-0.027625604458300257,0.019927597829905285,-27.540881251517657,1.0,True,False,True,DONE,,none,none,0.07768942346776431,0.5,0.039930980402316255,0.875433300039731
1,1,0.45070929747224164,0.05405564275403697,0.019927597829905275,-21.351357598990276,1.0,True,False,True,DONE,,none,none,0.0777135444197692,0.5,0.03993098040234844,0.8841765000252053
2,2,0.4356967229213021,-0.024181059722726807,0.019927597829905264,18.854291051681592,1.0,True,False,True,DONE,,none,none,0.07731696521412637,0.5,0.03993098041764266,0.8887656000442803
3,3,0.42513895073669267,-0.031582745390639856,0.019927597829905264,18.075396323451198,1.0,True,False,True,DONE,,none,none,0.07734180369755168,0.5,0.039930980417579434,0.8242628000443801
4,4,0.4765833657410934,0.001359305911331245,0.019927597829905306,28.57369226783991,1.0,True,False,True,DONE,,none,none,0.077276622070159,0.5,0.039930980417645284,0.8232855999376625
